survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,passenger_crew
True,male,44.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,35.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,51.0,Engineering,,Adult,Lusitania,False,Crew
False,male,20.0,Engineering,,Adult,Lusitania,False,Crew
False,male,40.0,Engineering,,Adult,Lusitania,False,Crew
False,male,49.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,24.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,44.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,42.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,35.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,31.0,Engineering,,Adult,Lusitania,False,Crew
False,male,31.0,Engineering,,Adult,Lusitania,False,Crew
True,male,34.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,30.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,20.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,22.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,45.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,34.0,Engineering,,Adult,Lusitania,False,Crew
False,male,36.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,25.0,Engineering,,Adult,Lusitania,False,Crew
False,male,25.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,31.0,Engineering,,Adult,Lusitania,False,Crew
True,male,29.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,25.0,Engineering,,Adult,Lusitania,False,Crew
False,male,25.0,Engineering,,Adult,Lusitania,False,Crew
False,male,31.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,50.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,48.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,19.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
