scenario,model,accuracy,precision,recall,f1,roc_auc
titanic,logistic_regression,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.7559055118110236,0.8596256684491979
titanic,random_forest,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.7213114754098361,0.8523395721925133
lusitania,logistic_regression,0.6086956521739131,0.0,0.0,0.0,0.5474268138628
lusitania,random_forest,0.6112531969309463,1.0,0.006535947712418301,0.012987012987012988,0.5739276102597902
pooled,logistic_regression,0.6414762741652021,0.6164383561643836,0.20361990950226244,0.30612244897959184,0.6262417433817028
pooled,random_forest,0.6608084358523726,0.64,0.2895927601809955,0.3987538940809969,0.6455830342747177
