variable,coef,abs_coef,odds_ratio,ci_lower,ci_upper,p_value,significant_05
const,-0.4550030334384021,0.4550030334384021,0.6344460433923171,-0.6995244018915694,-0.21048166498523477,0.00026523497476377825,True
age,-0.13584151857156132,0.13584151857156132,0.8729809727978136,-0.2492459606553059,-0.022437076487816718,0.01888754891588648,True
time_to_sink_min,-0.40890651660181127,0.40890651660181127,0.6643763375769793,-0.5515577207667213,-0.26625531243690126,1.9296450304052503e-08,True
sex_x_time,0.9407677425889871,0.9407677425889871,2.5619475797474913,0.765538216837571,1.1159972683404034,6.79687412849004e-26,True
sex_male,0.34186422054120924,0.34186422054120924,1.4075691655589893,0.039218978300591456,0.6445094627818271,0.026832190052144184,True
class,-0.2837708384400661,0.2837708384400661,0.7529391696520511,-0.39283838599448084,-0.17470329088565142,3.40705893298842e-07,True
