scenario,model,accuracy,precision,recall,specificity,f1,roc_auc,brier_score,log_loss,true_positives,false_positives,true_negatives,false_negatives
titanic,Logistic Regression,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.9,0.7559055118110236,0.8596256684491979,0.13602293098785,0.43980046829760894,48,11,99,20
titanic,Random Forest,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.9090909090909091,0.7213114754098361,0.8523395721925133,0.14097206674368326,0.45093133255374984,44,10,100,24
lusitania,Logistic Regression,0.6086956521739131,0.0,0.0,1.0,0.0,0.5474268138628,0.236279389970186,0.6651721897323827,0,0,238,153
lusitania,Random Forest,0.6112531969309463,1.0,0.006535947712418301,1.0,0.012987012987012988,0.5739276102597902,0.2363169519076624,0.6663265419858817,1,0,238,152
pooled,Logistic Regression,0.6414762741652021,0.6164383561643836,0.20361990950226244,0.9195402298850575,0.30612244897959184,0.6262417433817028,0.22657722613094883,0.6450116590507728,45,28,320,176
pooled,Random Forest,0.6608084358523726,0.64,0.2895927601809955,0.896551724137931,0.3987538940809969,0.6455830342747177,0.21828470167924552,0.6278641080623639,64,36,312,157
